# Data generated with generateMultisineData.py script.
# TimeStep= 0.001 EndTime = 10.0 bias = 0.0 amplitude = 2.0
# frequencies = [0.2, 0.5, 0.9, 1.7, 2.8, 4.0]
# phases = [0.0, 1.1, 2.2, 0.7, 1.9, 2.8]
# time, data
8.458000000000000185e+00,1.525560270589502720e-01
8.458999999999999631e+00,1.545838580401089901e-01
8.460000000000000853e+00,1.563521343554306609e-01
8.461000000000000298e+00,1.578604067269389344e-01
8.461999999999999744e+00,1.591083924171658448e-01
8.463000000000000966e+00,1.600959748820638406e-01
8.464000000000000412e+00,1.608232033184976706e-01
8.464999999999999858e+00,1.612902921066012019e-01
8.465999999999999304e+00,1.614976201478026674e-01
8.467000000000000526e+00,1.614457300989672606e-01
8.467999999999999972e+00,1.611353275034185795e-01
8.468999999999999417e+00,1.605672798195280082e-01
8.470000000000000639e+00,1.597426153478830602e-01
8.471000000000000085e+00,1.586625220576229622e-01
8.471999999999999531e+00,1.573283463131013582e-01
8.473000000000000753e+00,1.557415915018996455e-01
8.474000000000000199e+00,1.539039165650064045e-01
8.474999999999999645e+00,1.518171344306733783e-01
8.476000000000000867e+00,1.494832103528418166e-01
8.477000000000000313e+00,1.469042601554944871e-01
8.477999999999999758e+00,1.440825483842628763e-01
8.479000000000000981e+00,1.410204863666026931e-01
8.480000000000000426e+00,1.377206301820606549e-01
8.480999999999999872e+00,1.341856785440014577e-01
8.481999999999999318e+00,1.304184705943643996e-01
8.483000000000000540e+00,1.264219836131042773e-01
8.483999999999999986e+00,1.221993306439099897e-01
8.484999999999999432e+00,1.177537580378163334e-01
8.486000000000000654e+00,1.130886429165722101e-01
8.487000000000000099e+00,1.082074905576162621e-01
8.487999999999999545e+00,1.031139317022516794e-01
8.489000000000000767e+00,9.781171978911853970e-02
8.490000000000000213e+00,9.230472811494655483e-02
8.490999999999999659e+00,8.659694692428018814e-02
8.492000000000000881e+00,8.069248043045440522e-02
8.493000000000000327e+00,7.459554376998817071e-02
8.493999999999999773e+00,6.831045989200497381e-02
8.495000000000000995e+00,6.184165638539284443e-02
8.496000000000000441e+00,5.519366224559041356e-02
8.496999999999999886e+00,4.837110458310810157e-02
8.497999999999999332e+00,4.137870527644852553e-02
8.499000000000000554e+00,3.422127757122589431e-02
8.500000000000000000e+00,2.690372262818105722e-02
8.500999999999999446e+00,1.943102602223042638e-02
8.502000000000000668e+00,1.180825419491515413e-02
8.503000000000000114e+00,4.040550862852691598e-03
8.503999999999999559e+00,-3.866866615579721798e-03
8.505000000000000782e+00,-1.190871091285524916e-02
8.506000000000000227e+00,-2.007962844152911749e-02
8.506999999999999673e+00,-2.837420309800255808e-02
8.508000000000000895e+00,-3.678696003779789031e-02
8.509000000000000341e+00,-4.531236948016079125e-02
8.509999999999999787e+00,-5.394485053944302055e-02
8.511000000000001009e+00,-6.267877508045163748e-02
8.512000000000000455e+00,-7.150847159542451925e-02
8.512999999999999901e+00,-8.042822909996903691e-02
8.513999999999999346e+00,-8.943230104539896808e-02
8.515000000000000568e+00,-9.851490924475909960e-02
8.516000000000000014e+00,-1.076702478100435012e-01
8.516999999999999460e+00,-1.168924870980419528e-01
8.518000000000000682e+00,-1.261757776620137106e-01
8.519000000000000128e+00,-1.355142542066494205e-01
8.519999999999999574e+00,-1.449020395439999664e-01
8.521000000000000796e+00,-1.543332485471609616e-01
8.522000000000000242e+00,-1.638019920996228451e-01
8.522999999999999687e+00,-1.733023810375705631e-01
8.524000000000000909e+00,-1.828285300823895010e-01
8.525000000000000355e+00,-1.923745617608143832e-01
8.525999999999999801e+00,-2.019346103104354417e-01
8.527000000000001023e+00,-2.115028255676253965e-01
8.528000000000000469e+00,-2.210733768355007955e-01
8.528999999999999915e+00,-2.306404567295368691e-01
8.529999999999999361e+00,-2.401982849980004719e-01
8.531000000000000583e+00,-2.497411123150950207e-01
