# Running simulation using ground_truth model.
# Full command line is: /home/aeromike69/Desktop/SystemIdentification/src/VerticalJointId/simulation/runModel_groundTruth.py -if /home/aeromike69/Desktop/SystemIdentification/src/InputData/10-MultiSine/01-MultiSineInput.csv -of /home/aeromike69/Desktop/SystemIdentification/src/VerticalJointId/experiments/01-MultiSineTelemetry_groundTruth.csv -p
# 
# time,desired_current,delayed_current_command,drive_voltage,motor_current,motor_angle,motor_speed,linear_position,linear_speed,motor_encoder,linear_encoder,equivalent_inertia_motor_side,motor_to_linear_gain,tau_motor,tau_gravity,tau_gearbox_friction,tau_screw_friction,net_torque,motor_acceleration,reflected_mass_inertia,commanded_current
3.911000000000000032e+00,-1.915962144884857110e-01,-2.037960055775977497e-01,-1.927760226827816226e+01,-1.960698858818699930e-01,-1.961888370610961658e+02,-2.381061739249897471e+02,-2.497953855817910962e-02,-3.031661964868853990e-02,-1.961869388858461889e+02,-2.498022460937500064e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.568559087054960041e-02,3.745864374413124948e-02,-4.380751018823331872e-02,0.000000000000000000e+00,-9.336724426447527703e-03,-3.107204265658268483e+01,4.863416814832212941e-07,-1.915962144884857110e-01
3.911999999999999922e+00,-1.796200956339069621e-01,-1.915962144884857110e-01,-1.926566134091821780e+01,-1.839922617890662193e-01,-1.964269710812362177e+02,-2.381340201400554122e+02,-2.500985872331801599e-02,-3.032016513890782236e-02,-1.964262398887563563e+02,-2.500976562499999944e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.471938094312529727e-02,3.745864374413124948e-02,-4.381061739249897391e-02,0.000000000000000000e+00,-8.367407294757572833e-03,-2.784621506566530869e+01,4.863416814832212941e-07,-1.796200956339069621e-01
3.913000000000000256e+00,-1.678734614897133826e-01,-1.796200956339069621e-01,-1.925373698671513623e+01,-1.721420360316147646e-01,-1.966651297833786884e+02,-2.381587021424757324e+02,-2.504018203106707710e-02,-3.032330774906030063e-02,-1.966778127379695889e+02,-2.504028320312499944e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.377136288252918221e-02,3.745864374413124948e-02,-4.381340201400554107e-02,0.000000000000000000e+00,-7.416604612654892348e-03,-2.468200242031806724e+01,4.863416814832212941e-07,-1.678734614897133826e-01
3.914000000000000146e+00,-1.563619927701789536e-01,-1.678734614897133826e-01,-1.924184098465494230e+01,-1.605249493775803837e-01,-1.969033100664337610e+02,-2.381802830550849421e+02,-2.507050808658327010e-02,-3.032605551619485529e-02,-1.968987059714251302e+02,-2.507055664062500175e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.284199595020643105e-02,3.745864374413124948e-02,-4.381587021424757089e-02,0.000000000000000000e+00,-6.484769480090107896e-03,-2.158091260921266752e+01,4.863416814832212941e-07,-1.563619927701789536e-01
3.915000000000000036e+00,-1.450912348645994887e-01,-1.563619927701789536e-01,-1.922998507243389454e+01,-1.491466085602499159e-01,-1.971415088939061775e+02,-2.381988274724193957e+02,-2.510083650324801408e-02,-3.032841666474328512e-02,-1.971380069743352976e+02,-2.510156250000000061e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.193172868481999320e-02,3.745864374413124948e-02,-4.381802830550849542e-02,0.000000000000000000e+00,-5.572344123442748987e-03,-1.854441733444728868e+01,4.863416814832212941e-07,-1.450912348645994887e-01
3.915999999999999925e+00,-1.340665943491504974e-01,-1.450912348645994887e-01,-1.921818093935841887e+01,-1.380124827552945133e-01,-1.973797232953297964e+02,-2.382144014236050680e+02,-2.513116690284980873e-02,-3.033039960179502101e-02,-1.973681040925181378e+02,-2.513134765625000058e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.104099862042356127e-02,3.745864374413124948e-02,-4.381988274724193944e-02,0.000000000000000000e+00,-4.679759617312873043e-03,-1.557395118568629400e+01,4.863416814832212941e-07,-1.340665943491504974e-01
3.917000000000000259e+00,-1.232933355761055699e-01,-1.340665943491504974e-01,-1.920644021926370471e+01,-1.271279001345900495e-01,-1.976179503676641502e+02,-2.382270723343400789e+02,-2.516149891576206776e-02,-3.033201291225658472e-02,-1.976196769417313703e+02,-2.516162109374999942e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.017023201076720437e-02,3.745864374413124948e-02,-4.382144014236050850e-02,0.000000000000000000e+00,-3.807435612537941882e-03,-1.267091073501716458e+01,4.863416814832212941e-07,-1.232933355761055699e-01
3.918000000000000149e+00,-1.127765773426373935e-01,-1.232933355761055699e-01,-1.919477448345498516e+01,-1.164980444987702979e-01,-1.978561872766521503e+02,-2.382369089879931607e+02,-2.519183218111596678e-02,-3.033326535389848158e-02,-1.978681818293688650e+02,-2.519116210937500169e-02,3.004863416814832736e-04,1.273239544735162696e-04,-9.319843559901624594e-03,3.745864374413124948e-02,-4.382270723343401064e-02,0.000000000000000000e+00,-2.955780070598865161e-03,-9.836653653070207781e+00,4.863416814832212941e-07,-1.127765773426373935e-01
3.919000000000000039e+00,-1.025212896413022767e-01,-1.127765773426373935e-01,-1.918319523367593149e+01,-1.061279519907394470e-01,-1.980944312581380018e+02,-2.382439814858401519e+02,-2.522216634696826040e-02,-3.033416585229236490e-02,-1.980860071012486117e+02,-2.522167968750000169e-02,3.004863416814832736e-04,1.273239544735162696e-04,-8.490236159259156173e-03,3.745864374413124948e-02,-4.382369089879931817e-02,0.000000000000000000e+00,-2.125189004591084008e-03,-7.072497846986312453e+00,4.863416814832212941e-07,-1.025212896413022767e-01
3.919999999999999929e+00,-9.253229049429312347e-02,-1.025212896413022767e-01,-1.917171389510830437e+01,-9.602250789220909133e-02,-1.983326796193444750e+02,-2.382483612064609417e+02,-2.525250107046390566e-02,-3.033472349564129283e-02,-1.983253081041587791e+02,-2.525268554687500056e-02,3.004863416814832736e-04,1.273239544735162696e-04,-7.681800631376727723e-03,3.745864374413124948e-02,-4.382439814858402061e-02,0.000000000000000000e+00,-1.316046226923953122e-03,-4.379720620776059725e+00,4.863416814832212941e-07,-9.253229049429312347e-02
