# This is the header
# time,motor_current,linear_position,linear_speed,motor_angle,motor_speed,linear_encoder,motor_encoder,force_motor,force_gravity,force_friction,net_force,linear_acceleration,commanded_current
2.500000000000000139e-02,1.273000076606334741e+00,7.294040204875835650e-05,5.123265523579442933e-03,5.728725780656629407e-01,4.023803332816761014e+01,7.294040204875835650e-05,5.728725780656629407e-01,7.998495377371410768e+02,2.941995000000000005e+02,1.514879295325954445e+01,4.905012447838815319e+02,1.635004149279604968e-01,1.273000076606334741e+00
2.600000000000000228e-02,1.259175328651577663e+00,7.822427090382078085e-05,5.283868855062427705e-03,6.143719870096528979e-01,4.149940894399008329e+01,7.822427090382078085e-05,6.143719870096528979e-01,7.911631924146620349e+02,2.941995000000000005e+02,1.515369796570738359e+01,4.818099944489546260e+02,1.606033314829848624e-01,1.259175328651577663e+00
2.699999999999999969e-02,1.245284848404589084e+00,8.366583226895296633e-05,5.441561365132179841e-03,6.571099100315462849e-01,4.273792302189325909e+01,8.366583226895296633e-05,6.571099100315462849e-01,7.824355462749073240e+02,2.941995000000000005e+02,1.515851606565187204e+01,4.730775302092554284e+02,1.576925100697517956e-01,1.245284848404589084e+00
2.800000000000000058e-02,1.231336612690395960e+00,8.926216325557310928e-05,5.596330986620147614e-03,7.010633908181030938e-01,4.395348078655693769e+01,8.926216325557310928e-05,7.010633908181030938e-01,7.736716113048577199e+02,2.941995000000000005e+02,1.516324684095396513e+01,4.643088644639037739e+02,1.547696214879679122e-01,1.231336612690395960e+00
2.900000000000000147e-02,1.217338574985771471e+00,9.501033057382384851e-05,5.748167318250732398e-03,7.462093913646568044e-01,4.514600054655360850e+01,9.501033057382384851e-05,7.462093913646568044e-01,7.648763848213534402e+02,2.941995000000000005e+02,1.516788992959860494e+01,4.555089948917548099e+02,1.518363316305849364e-01,1.217338574985771471e+00
2.999999999999999889e-02,1.203298660828982847e+00,1.009073921925970440e-04,5.897061618773201397e-03,7.925248050129173327e-01,4.631541364826055940e+01,1.009073921925970440e-04,7.925248050129173327e-01,7.560548465869537722e+02,2.941995000000000005e+02,1.517244501954752245e+01,4.466829015674062475e+02,1.488943005224687421e-01,1.203298660828982847e+00
3.099999999999999978e-02,1.189224763258979189e+00,1.069503989927354955e-04,6.043006800138445156e-03,8.399864694351876215e-01,4.746166442227026039e+01,1.069503989927354955e-04,8.399864694351876215e-01,7.472119559442940044e+02,2.941995000000000005e+02,1.517691184856319531e+01,4.378355440957308247e+02,1.459451813652436203e-01,1.189224763258979189e+00
3.200000000000000067e-02,1.175124738286741577e+00,1.131363964124628281e-04,6.185997419727327917e-03,8.885711795575396144e-01,4.858471012235197151e+01,1.131363964124628281e-04,8.885711795575396144e-01,7.383526489706511029e+02,2.941995000000000005e+02,1.518129020400415286e+01,4.289718587666469602e+02,1.429906195888823173e-01,1.175124738286741577e+00
3.300000000000000155e-02,1.161006400401499272e+00,1.194624260841007572e-04,6.326029671637935746e-03,9.382557004145615220e-01,4.968452085702197962e+01,1.194624260841007572e-04,9.382557004145615220e-01,7.294818356544160451e+02,2.941995000000000005e+02,1.518557992259182043e+01,4.200967557318242029e+02,1.400322519106080577e-01,1.161006400401499272e+00
3.400000000000000244e-02,1.146877518114475469e+00,1.259255274611403689e-04,6.463101377039601539e-03,9.890167799283459127e-01,5.076107951378422456e+01,1.259255274611403689e-04,9.890167799283459127e-01,7.206043970951462825e+02,2.941995000000000005e+02,1.518978089014913735e+01,4.112151162049971163e+02,1.370717054016657166e-01,1.146877518114475469e+00
